Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2014 YT34),1906-01-12 00:49:00,0.04494,0.04416,6.69,6.68,24.7,31 m -   68 m,0.0,68.0
(2011 YH40),1906-01-13 10:57:00,0.03064,0.0262,9.6,9.59,22.9,70 m -  160 m,1.0,160.0
(2010 AF40),1906-01-18 14:07:00,0.04988,0.03687,15.88,15.88,25.0,27 m -   59 m,0.0,59.0
(2016 DJ),1906-02-07 10:53:00,0.02777,0.02774,5.07,5.05,25.6,20 m -   45 m,0.0,45.0
(2004 FH),1906-02-26 01:37:00,0.04598,0.04594,6.02,6.01,25.7,19 m -   43 m,0.0,43.0
(2014 PW59),1906-02-26 02:03:00,0.01021,0.0094,18.5,18.49,20.9,0.412±0.038 km,2.0,
(2020 BX15),1906-02-27 00:15:00,0.04872,0.04862,15.21,15.21,21.3,150 m -  330 m,1.0,330.0
(2018 DV1),1906-03-01 16:38:00,0.00707,0.00294,5.93,5.87,28.4,5.6 m -   12 m,0.0,12.0
1915 Quetzalcoatl (1953 EA),1906-03-06 00:07:00,0.02533,0.02532,15.12,15.11,18.1,0.5 km,2.0,
(2011 CD22),1906-03-06 00:16:00,0.0434,0.04324,15.46,15.46,22.4,88 m -  200 m,1.0,200.0
(2003 BB21),1906-03-19 00:01:00,0.02787,0.02787,8.47,8.46,21.1,160 m -  370 m,1.0,370.0
(2018 EC1),1906-03-19 15:52:00,0.04929,0.03866,8.19,8.18,26.2,15 m -   34 m,0.0,34.0
(2014 TN17),1906-03-21 00:02:00,0.04537,0.04535,19.25,19.24,21.5,130 m -  300 m,1.0,300.0
(2011 UH20),1906-04-11 00:09:00,0.01207,0.01201,21.09,21.08,21.1,160 m -  360 m,2.0,360.0
(2021 HD),1906-04-20 02:48:00,0.00857,0.00715,11.82,11.79,26.3,15 m -   33 m,0.0,33.0
(2016 GW221),1906-05-08 07:42:00,0.0402,0.04006,5.02,5.01,24.8,30 m -   66 m,0.0,66.0
(2012 NN),1906-05-11 03:47:00,0.04778,0.04764,9.81,9.81,20.9,180 m -  390 m,1.0,390.0
(2007 UN12),1906-05-11 16:22:00,0.0208,0.00739,1.43,1.34,28.7,4.8 m -   11 m,0.0,11.0
(2013 LE7),1906-05-12 00:27:00,0.03153,0.03152,1.61,1.55,27.5,8.4 m -   19 m,0.0,19.0
(2009 HV2),1906-05-12 00:35:00,0.03242,0.03228,13.79,13.79,21.3,150 m -  330 m,1.0,330.0
(2013 JK14),1906-05-21 09:38:00,0.01237,0.00587,14.37,14.35,25.2,24 m -   55 m,0.0,55.0
(2023 BM4),1906-05-30 04:58:00,0.03913,0.02746,7.17,7.17,23.6,50 m -  110 m,0.0,110.0
(2011 OB57),1906-07-03 01:17:00,0.02616,0.02602,7.22,7.21,26.0,17 m -   38 m,0.0,38.0
(2012 BB14),1906-07-12 09:32:00,0.03969,0.03857,2.28,2.25,25.0,27 m -   59 m,0.0,59.0
(2002 AA29),1906-07-13 00:02:00,0.04383,0.04382,5.78,5.77,24.1,40 m -   90 m,0.0,90.0
(1998 SD9),1906-09-03 00:03:00,0.03189,0.03188,9.75,9.74,24.1,40 m -   90 m,0.0,90.0
518810 (2010 CF19),1906-09-12 00:01:00,0.0397,0.0397,7.17,7.16,21.9,0.083±0.006 km,1.0,
(2018 BP),1906-09-14 00:30:00,0.04948,0.04932,9.17,9.17,20.6,210 m -  460 m,1.0,460.0
(2022 SW),1906-09-14 07:05:00,0.04039,0.02741,16.27,16.27,25.1,25 m -   56 m,0.0,56.0
(2002 TZ66),1906-10-05 01:38:00,0.00911,0.00814,5.65,5.6,25.9,18 m -   39 m,0.0,39.0
(2016 VO1),1906-10-10 00:19:00,0.0441,0.04359,12.46,12.46,23.1,64 m -  140 m,0.0,140.0
(2016 UO41),1906-10-13 00:08:00,0.04954,0.04951,13.87,13.86,24.4,35 m -   78 m,0.0,78.0
(2010 VQ),1906-10-31 01:40:00,0.02322,0.02308,4.15,4.12,27.7,7.6 m -   17 m,0.0,17.0
381906 (2010 CL19),1906-11-18 00:14:00,0.04687,0.0467,19.49,19.49,17.8,0.520±0.111 km,2.0,
(2022 WJ11),1906-11-26 02:49:00,0.01561,0.01471,10.17,10.16,25.5,21 m -   47 m,0.0,47.0
(2013 XY8),1906-12-02 00:03:00,0.04094,0.04092,10.13,10.12,25.0,27 m -   59 m,0.0,59.0
(2022 RC7),1906-12-08 02:43:00,0.03752,0.02802,8.94,8.93,23.4,57 m -  130 m,0.0,130.0
(2014 HM4),1906-12-13 02:00:00,0.02116,0.0203,17.3,17.29,26.9,11 m -   25 m,0.0,25.0
(2019 AX5),1907-01-08 00:06:00,0.01102,0.01089,10.6,10.58,26.0,17 m -   38 m,0.0,38.0
(2021 AC1),1907-01-16 18:27:00,0.0184,0.01604,6.13,6.1,25.2,24 m -   54 m,0.0,54.0
(2019 DA),1907-02-07 00:10:00,0.03838,0.03793,7.91,7.9,23.1,64 m -  140 m,0.0,140.0
(2015 CT13),1907-02-18 23:42:00,0.03364,0.02718,7.23,7.22,26.0,17 m -   38 m,0.0,38.0
(2019 EM1),1907-02-28 04:53:00,0.02235,0.00879,17.13,17.12,22.3,92 m -  210 m,1.0,210.0
(2017 DA38),1907-03-04 02:35:00,0.02454,0.02428,7.86,7.84,25.0,27 m -   59 m,0.0,59.0
(2001 EC16),1907-03-27 00:08:00,0.03964,0.0396,8.93,8.92,22.3,92 m -  210 m,1.0,210.0
(2003 WH166),1907-04-11 00:14:00,0.04448,0.04442,10.79,10.78,22.0,110 m -  240 m,1.0,240.0
99942 Apophis (2004 MN4),1907-04-13 00:02:00,0.02861,0.0286,5.1,5.08,19.1,0.34±0.04 km,2.0,
(2005 KA),1907-05-08 10:56:00,0.01221,0.01198,3.71,3.65,24.7,31 m -   68 m,1.0,68.0
612267 (2001 SG286),1907-05-20 00:11:00,0.0073,0.0073,9.81,9.77,20.9,170 m -  390 m,2.0,390.0
(2007 DG8),1907-07-14 00:06:00,0.04315,0.04311,10.98,10.97,25.2,24 m -   54 m,0.0,54.0
(2019 YM6),1907-07-28 20:32:00,0.04219,0.03583,12.52,12.51,22.1,100 m -  230 m,1.0,230.0
(2021 CU4),1907-08-03 14:07:00,0.0202,0.01652,13.38,13.37,22.3,94 m -  210 m,1.0,210.0
(2008 BD15),1907-08-04 00:44:00,0.02597,0.02534,17.28,17.27,20.6,200 m -  450 m,1.0,450.0
163697 (2003 EF54),1907-08-10 00:06:00,0.04822,0.0482,11.08,11.07,20.1,260 m -  570 m,1.0,570.0
(2017 MV2),1907-09-09 00:24:00,0.04154,0.04153,8.15,8.15,20.8,180 m -  410 m,1.0,410.0
(1999 SF10),1907-10-06 11:39:00,0.01665,0.01479,5.26,5.23,24.3,37 m -   82 m,1.0,82.0
(2017 UT1),1907-10-07 01:09:00,0.0349,0.03071,7.05,7.04,27.5,8.4 m -   19 m,0.0,19.0
(2018 EB),1907-10-08 00:01:00,0.0346,0.03457,15.24,15.23,21.9,110 m -  250 m,1.0,250.0
(2010 FV9),1907-10-11 09:28:00,0.01633,0.01235,7.26,7.24,25.4,22 m -   49 m,0.0,49.0
(2018 TP1),1907-10-17 00:41:00,0.01309,0.0127,17.64,17.62,24.7,31 m -   70 m,1.0,70.0
(2022 VP2),1907-11-14 04:08:00,0.01484,0.01478,12.81,12.79,26.5,13 m -   30 m,0.0,30.0
(2001 XX4),1907-12-07 00:02:00,0.02287,0.02285,17.26,17.25,22.1,100 m -  230 m,1.0,230.0
(2019 XT2),1907-12-08 10:39:00,0.04494,0.03171,7.7,7.69,26.4,14 m -   31 m,0.0,31.0
(2020 YF),1907-12-08 15:29:00,0.01266,0.01231,2.89,2.82,28.8,4.6 m -   10 m,0.0,10.0
(2022 YE),1907-12-18 01:03:00,0.0345,0.028,16.28,16.28,24.8,29 m -   66 m,0.0,66.0
(2019 AK8),1907-12-22 00:51:00,0.02434,0.02407,11.61,11.6,24.3,37 m -   82 m,0.0,82.0
(2018 AM12),1908-01-10 01:54:00,0.02512,0.02102,11.76,11.75,21.2,150 m -  340 m,1.0,340.0
(2019 WC5),1908-01-14 00:02:00,0.0105,0.01049,12.26,12.24,22.5,85 m -  190 m,2.0,190.0
(2013 AT72),1908-01-20 00:09:00,0.0296,0.02956,12.76,12.76,24.2,38 m -   86 m,0.0,86.0
(2012 XF55),1908-01-29 10:44:00,0.02185,0.02138,4.49,4.47,22.8,73 m -  160 m,1.0,160.0
(2015 AB44),1908-01-31 00:03:00,0.04328,0.04323,11.79,11.78,22.6,80 m -  180 m,0.0,180.0
(2017 PV25),1908-02-12 20:25:00,0.00956,0.00952,6.58,6.54,24.7,31 m -   68 m,1.0,68.0
(2020 DE1),1908-02-13 03:45:00,0.03841,0.03789,5.07,5.06,27.8,7.3 m -   16 m,0.0,16.0
(2011 FS9),1908-02-24 03:01:00,0.02189,0.02053,4.47,4.44,23.6,51 m -  110 m,1.0,110.0
(2014 QJ33),1908-03-11 14:03:00,0.02511,0.01569,9.88,9.87,23.7,48 m -  110 m,0.0,110.0
(2022 FF2),1908-03-16 00:44:00,0.04651,0.0461,12.32,12.32,23.3,60 m -  130 m,0.0,130.0
(2019 FZ),1908-04-01 02:17:00,0.04541,0.04214,24.01,24.01,21.4,140 m -  310 m,1.0,310.0
350751 (2002 AW),1908-04-02 00:01:00,0.02655,0.02653,7.29,7.28,20.8,180 m -  410 m,1.0,410.0
(2021 HG1),1908-04-23 09:40:00,0.01554,0.01461,10.49,10.48,27.1,10 m -   23 m,0.0,23.0
(2001 XP31),1908-05-08 00:02:00,0.02699,0.02698,12.66,12.65,22.2,98 m -  220 m,1.0,220.0
(2016 JC6),1908-05-29 00:02:00,0.02643,0.02642,6.4,6.38,21.4,0.192±0.054 km,1.0,
(2016 DB),1908-06-01 03:02:00,0.03375,0.0328,9.81,9.8,28.5,5.3 m -   12 m,0.0,12.0
(2017 MB5),1908-07-07 00:17:00,0.03004,0.02997,8.98,8.97,22.7,77 m -  170 m,1.0,170.0
314082 Dryope (2005 CZ36),1908-07-13 00:03:00,0.04485,0.04483,13.18,13.18,17.5,840 m -  1.9 km,2.0,
(2021 MJ),1908-07-24 01:25:00,0.03435,0.03405,19.47,19.46,20.4,220 m -  480 m,1.0,480.0
(2021 CN9),1908-08-11 11:20:00,0.0495,0.04579,6.37,6.37,23.6,50 m -  110 m,0.0,110.0
(2022 CX2),1908-08-14 05:43:00,0.03714,0.03478,9.71,9.7,24.3,37 m -   82 m,0.0,82.0
(2018 RC),1908-08-24 06:20:00,0.03792,0.03765,4.17,4.16,24.9,28 m -   62 m,0.0,62.0
(2015 RT1),1908-08-26 11:40:00,0.03429,0.01536,6.76,6.75,25.4,22 m -   49 m,0.0,49.0
(2017 EB3),1908-09-27 10:12:00,0.04648,0.03848,6.4,6.39,25.0,27 m -   59 m,0.0,59.0
(2021 TC1),1908-10-12 00:57:00,0.04184,0.04133,7.65,7.64,25.3,23 m -   51 m,0.0,51.0
(2019 UE13),1908-11-07 16:08:00,0.04774,0.01928,10.46,10.45,25.8,19 m -   42 m,0.0,42.0
386454 (2008 XM),1908-11-20 00:03:00,0.04535,0.04529,35.52,35.52,20.0,0.367±0.009 km,1.0,
(2019 WQ19),1908-11-20 00:06:00,0.03323,0.03322,23.51,23.51,20.8,190 m -  420 m,1.0,420.0
(2016 WU7),1908-11-23 13:53:00,0.02468,0.01329,16.2,16.2,25.2,24 m -   54 m,0.0,54.0
(2001 XX4),1908-12-08 00:02:00,0.04517,0.04514,19.17,19.17,22.1,100 m -  230 m,1.0,230.0
(2018 FQ4),1908-12-15 00:03:00,0.04578,0.04576,10.54,10.53,27.1,10 m -   23 m,0.0,23.0
33342 (1998 WT24),1908-12-16 00:04:00,0.0091,0.00909,8.97,8.93,18.0,0.432±0.028 km,3.0,
141432 (2002 CQ11),1909-01-09 00:05:00,0.01897,0.01894,13.12,13.1,20.1,0.239±0.038 km,2.0,
(2009 BH2),1909-01-17 00:03:00,0.01901,0.01887,17.48,17.47,22.5,84 m -  190 m,1.0,190.0
(2010 SD),1909-02-01 00:03:00,0.03646,0.03644,9.62,9.61,24.7,31 m -   68 m,0.0,68.0
(2017 BF29),1909-02-07 00:36:00,0.04774,0.04749,2.33,2.31,25.6,20 m -   45 m,0.0,45.0
462550 (2009 CB3),1909-02-27 00:04:00,0.03397,0.03389,24.5,24.5,19.6,320 m -  700 m,1.0,700.0
474158 (1999 FA),1909-03-06 00:42:00,0.01124,0.0108,7.2,7.16,20.7,190 m -  430 m,2.0,430.0
(2015 FD),1909-03-08 19:36:00,0.02819,0.01637,8.14,8.13,26.6,13 m -   28 m,0.0,28.0
(2012 DH54),1909-03-12 05:14:00,0.02195,0.01319,5.42,5.4,27.5,8.4 m -   19 m,0.0,19.0
(2021 EM4),1909-03-20 13:47:00,0.01128,0.00431,6.4,6.36,27.1,9.9 m -   22 m,0.0,22.0
(2017 FR63),1909-03-24 00:12:00,0.03776,0.03771,4.85,4.83,26.1,16 m -   36 m,0.0,36.0
215588 (2003 HF2),1909-03-28 00:03:00,0.04729,0.04724,23.03,23.03,19.4,0.488±0.158 km,1.0,
(2014 GS1),1909-04-02 01:34:00,0.01873,0.0056,11.21,11.2,26.7,12 m -   27 m,0.0,27.0
(2015 XF261),1909-04-09 00:14:00,0.00815,0.00785,9.89,9.85,25.0,27 m -   59 m,1.0,59.0
(2016 GW221),1909-04-22 09:13:00,0.03982,0.03964,5.05,5.04,24.8,30 m -   66 m,0.0,66.0
(2018 KK1),1909-05-04 09:04:00,0.03849,0.0307,13.92,13.91,23.6,52 m -  120 m,0.0,120.0
(2015 YC2),1909-05-07 00:08:00,0.03756,0.03755,15.32,15.31,23.3,58 m -  130 m,0.0,130.0
(2018 VX8),1909-05-14 00:05:00,0.04935,0.04927,16.15,16.15,22.5,84 m -  190 m,0.0,190.0
(2016 WU),1909-05-19 06:51:00,0.02345,0.01719,6.55,6.53,27.3,9.2 m -   21 m,0.0,21.0
(2016 KD),1909-05-29 01:23:00,0.0391,0.03855,14.77,14.76,22.4,0.160±0.045 km,1.0,
(2015 EG),1909-06-06 00:03:00,0.04338,0.04269,10.31,10.3,25.6,20 m -   45 m,0.0,45.0
(2020 MK),1909-06-25 00:06:00,0.03063,0.0306,18.68,18.67,22.5,84 m -  190 m,1.0,190.0
(2021 NO1),1909-06-28 01:58:00,0.02845,0.01744,9.72,9.71,25.1,26 m -   57 m,0.0,57.0
(2017 MC4),1909-07-09 00:08:00,0.01405,0.01396,21.53,21.52,22.0,110 m -  240 m,2.0,240.0
(2016 NL56),1909-08-27 00:02:00,0.02618,0.02616,16.8,16.8,20.9,180 m -  390 m,1.0,390.0
221455 (2006 BC10),1909-08-27 00:11:00,0.02367,0.02357,19.2,19.19,19.5,330 m -  740 m,2.0,740.0
(2016 QA2),1909-08-28 08:39:00,0.01501,0.00068,9.56,9.54,25.1,25 m -   57 m,0.0,57.0
(2020 RL),1909-08-31 21:02:00,0.03655,0.02881,7.75,7.74,25.1,25 m -   57 m,0.0,57.0
(2007 RF2),1909-09-27 00:11:00,0.04971,0.04961,18.56,18.56,20.7,190 m -  430 m,1.0,430.0
(2019 JR1),1909-10-04 00:01:00,0.03835,0.03835,10.02,10.02,24.4,35 m -   78 m,0.0,78.0
(2017 UN1),1909-10-05 09:01:00,0.03791,0.03315,14.58,14.58,24.8,29 m -   65 m,0.0,65.0
(1998 SD9),1909-10-07 00:01:00,0.03338,0.03337,11.31,11.3,24.1,40 m -   90 m,0.0,90.0
(2005 TE49),1909-10-14 00:02:00,0.02803,0.02768,9.95,9.94,26.7,12 m -   27 m,0.0,27.0
(2021 TC1),1909-10-14 00:43:00,0.04137,0.0409,6.35,6.34,25.3,23 m -   51 m,0.0,51.0
(2015 RN35),1909-10-26 00:24:00,0.01534,0.01532,5.36,5.33,23.2,60 m -  130 m,1.0,130.0
(2015 GY),1909-10-27 00:04:00,0.03161,0.03159,9.34,9.33,21.7,0.143±0.051 km,1.0,
(2022 UA14),1909-10-28 00:09:00,0.01904,0.01903,12.09,12.08,28.3,5.7 m -   13 m,0.0,13.0
(2018 VZ5),1909-11-02 03:21:00,0.02892,0.02878,15.2,15.19,24.8,29 m -   65 m,0.0,65.0
(2010 VB),1909-11-09 01:46:00,0.03834,0.03667,8.68,8.67,25.6,20 m -   45 m,0.0,45.0
(2014 US56),1909-11-11 11:13:00,0.04853,0.04785,4.98,4.97,26.2,15 m -   34 m,0.0,34.0
(2005 YR3),1909-12-15 00:46:00,0.02259,0.02245,6.15,6.13,23.7,48 m -  110 m,1.0,110.0
(2010 NK1),1909-12-28 00:03:00,0.03712,0.03711,9.05,9.04,22.4,0.219±0.002 km,1.0,
(2021 AN),1910-01-04 00:05:00,0.03363,0.02894,17.06,17.05,24.6,32 m -   72 m,0.0,72.0
(2018 YH),1910-02-01 00:08:00,0.03782,0.03779,10.4,10.39,21.7,120 m -  270 m,1.0,270.0
(2012 EO5),1910-03-04 09:19:00,0.03253,0.03115,13.01,13.0,23.4,56 m -  120 m,0.0,120.0
(2017 FN127),1910-03-11 02:31:00,0.02403,0.02298,9.28,9.27,25.6,20 m -   45 m,0.0,45.0
(2004 OW10),1910-03-24 10:15:00,0.02659,0.02637,6.26,6.25,24.5,33 m -   75 m,0.0,75.0
(2002 VX91),1910-03-29 01:46:00,0.02685,0.02536,7.12,7.1,24.3,37 m -   82 m,0.0,82.0
(2003 LW2),1910-04-01 00:03:00,0.04572,0.04571,8.67,8.67,25.8,18 m -   41 m,0.0,41.0
(2007 DS84),1910-04-11 00:09:00,0.04684,0.04682,7.54,7.53,20.8,180 m -  410 m,1.0,410.0
(2013 GA80),1910-04-18 00:02:00,0.03541,0.03539,16.92,16.92,21.5,130 m -  300 m,1.0,300.0
(1996 TD9),1910-05-03 00:08:00,0.03981,0.03972,10.86,10.86,23.7,48 m -  110 m,0.0,110.0
(2007 JB21),1910-05-09 01:34:00,0.00117,0.00042,7.7,7.4,25.4,22 m -   49 m,2.0,49.0
(2009 FU4),1910-05-14 00:16:00,0.03638,0.03631,13.79,13.79,17.8,730 m -  1.6 km,2.0,
(2022 JU1),1910-05-26 16:46:00,0.03114,0.00702,7.84,7.83,25.0,27 m -   60 m,0.0,60.0
(2014 MV18),1910-07-01 03:11:00,0.01778,0.0173,6.55,6.53,23.7,48 m -  110 m,1.0,110.0
(2020 OD),1910-07-20 04:59:00,0.02261,0.02186,6.14,6.12,23.8,46 m -  100 m,1.0,100.0
(2017 BL30),1910-07-29 01:38:00,0.04467,0.04427,5.9,5.89,23.3,58 m -  130 m,0.0,130.0
(2019 QW2),1910-08-02 04:53:00,0.04193,0.04133,5.07,5.06,24.8,29 m -   65 m,0.0,65.0
(2019 QK7),1910-08-07 06:25:00,0.03988,0.03863,5.33,5.32,25.5,21 m -   47 m,0.0,47.0
(2020 PN1),1910-08-09 00:02:00,0.04851,0.0485,3.66,3.64,25.4,22 m -   48 m,0.0,48.0
(2016 DV1),1910-08-14 00:16:00,0.03218,0.03206,17.31,17.3,24.8,29 m -   65 m,0.0,65.0
(2021 RK12),1910-08-29 03:15:00,0.02449,0.01796,9.5,9.49,26.3,15 m -   33 m,0.0,33.0
(2010 VZ),1910-10-01 00:08:00,0.03997,0.03995,10.27,10.26,19.3,0.380±0.129 km,1.0,
(2021 TO8),1910-10-09 02:46:00,0.03913,0.03663,10.01,10.0,27.9,7.0 m -   16 m,0.0,16.0
(2020 TK5),1910-10-10 00:58:00,0.00865,0.00686,13.98,13.96,23.6,49 m -  110 m,1.0,110.0
(2018 GL2),1910-10-10 10:12:00,0.02611,0.01461,12.5,12.49,24.3,37 m -   82 m,0.0,82.0
(2008 GC110),1910-10-22 00:01:00,0.04419,0.04419,8.46,8.45,22.0,110 m -  240 m,1.0,240.0
(2010 VQ),1910-11-02 01:38:00,0.02847,0.02836,4.07,4.05,27.7,7.6 m -   17 m,0.0,17.0
(2008 WM61),1910-11-13 02:15:00,0.03582,0.03549,5.69,5.68,26.6,13 m -   28 m,0.0,28.0
(2020 UB5),1910-11-18 02:50:00,0.04492,0.04396,3.59,3.57,25.1,25 m -   56 m,0.0,56.0
(2017 WO16),1910-11-26 07:49:00,0.03646,0.00716,7.86,7.85,25.0,26 m -   58 m,0.0,58.0
(2015 WA13),1910-12-08 09:04:00,0.02157,0.02099,4.33,4.3,26.1,16 m -   36 m,0.0,36.0
481817 (2008 UL90),1910-12-14 00:02:00,0.04649,0.04644,13.0,13.0,18.6,510 m -  1.1 km,2.0,
(2008 YZ28),1910-12-19 00:02:00,0.04684,0.04683,24.16,24.16,20.0,270 m -  590 m,1.0,590.0
(2021 CC),1911-01-29 16:29:00,0.03486,0.03034,6.56,6.54,25.4,22 m -   49 m,0.0,49.0
(2013 DU),1911-02-12 00:11:00,0.03583,0.03581,6.46,6.45,23.9,44 m -   99 m,0.0,99.0
(2016 EF28),1911-03-01 00:03:00,0.04307,0.04303,19.84,19.84,21.7,120 m -  270 m,1.0,270.0
531060 (2012 DJ61),1911-03-06 00:03:00,0.03819,0.03814,29.42,29.42,19.9,280 m -  630 m,1.0,630.0
(2022 FP),1911-03-20 16:50:00,0.04919,0.04547,14.94,14.93,24.4,34 m -   77 m,0.0,77.0
503911 (2002 FD6),1911-04-06 00:02:00,0.00367,0.00365,11.48,11.42,22.9,70 m -  160 m,2.0,160.0
(2020 HJ6),1911-04-14 02:35:00,0.01548,0.01393,19.6,19.59,26.7,12 m -   27 m,0.0,27.0
(2009 WV25),1911-04-19 01:28:00,0.01886,0.01801,11.49,11.48,24.0,42 m -   94 m,1.0,94.0
(2017 SK16),1911-04-23 02:00:00,0.04315,0.04265,13.0,12.99,22.9,69 m -  150 m,0.0,150.0
(2021 CP6),1911-04-24 00:28:00,0.04686,0.04686,7.38,7.37,22.9,70 m -  160 m,0.0,160.0
(2003 LN6),1911-04-28 16:57:00,0.03749,0.02589,5.07,5.06,24.7,30 m -   68 m,0.0,68.0
(2007 JB21),1911-05-08 03:20:00,0.03321,0.02655,7.08,7.07,25.4,22 m -   49 m,0.0,49.0
(2013 LE7),1911-05-10 00:10:00,0.03903,0.039,1.92,1.89,27.5,8.4 m -   19 m,0.0,19.0
(2018 JX),1911-05-17 03:24:00,0.01861,0.01636,12.77,12.76,23.4,56 m -  120 m,1.0,120.0
(2018 WX1),1911-05-26 10:05:00,0.03944,0.03285,9.8,9.79,24.1,39 m -   88 m,0.0,88.0
424482 (2008 DG5),1911-06-08 00:03:00,0.02982,0.02981,5.93,5.92,19.7,310 m -  690 m,2.0,690.0
(2004 UR1),1911-06-18 00:02:00,0.0177,0.01769,14.08,14.07,20.5,210 m -  470 m,2.0,470.0
(2018 KC3),1911-06-19 00:24:00,0.03731,0.03709,8.85,8.85,23.1,64 m -  140 m,0.0,140.0
(2014 MW26),1911-06-24 00:03:00,0.04928,0.04925,6.36,6.35,22.8,72 m -  160 m,0.0,160.0
(2022 RA),1911-08-29 01:52:00,0.01058,0.00954,11.55,11.53,27.9,7.0 m -   16 m,0.0,16.0
(2014 QY33),1911-08-31 06:44:00,0.01199,0.0092,13.71,13.69,26.2,15 m -   34 m,0.0,34.0
(2016 RJ20),1911-09-01 00:16:00,0.03305,0.03262,17.08,17.08,23.6,51 m -  110 m,0.0,110.0
(2017 FE65),1911-09-27 00:38:00,0.03829,0.03801,14.6,14.6,20.6,200 m -  440 m,1.0,440.0
(2016 RD34),1911-09-30 04:39:00,0.0169,0.0163,1.74,1.64,27.7,7.7 m -   17 m,0.0,17.0
(2017 UZ44),1911-10-14 00:21:00,0.0448,0.04463,20.56,20.56,22.1,100 m -  230 m,1.0,230.0
363305 (2002 NV16),1911-10-15 00:03:00,0.02861,0.02861,4.44,4.41,21.4,140 m -  310 m,1.0,310.0
(2018 TU4),1911-10-15 14:39:00,0.02841,0.02782,11.4,11.39,25.5,21 m -   47 m,0.0,47.0
(2022 UA14),1911-10-20 02:57:00,0.048,0.0473,10.1,10.1,28.3,5.7 m -   13 m,0.0,13.0
(2007 VY137),1911-10-30 07:05:00,0.04865,0.04435,13.32,13.31,24.2,38 m -   86 m,0.0,86.0
(2016 JG12),1911-11-11 00:03:00,0.03496,0.03494,9.13,9.13,22.5,83 m -  180 m,1.0,180.0
(2013 UB3),1911-11-25 02:53:00,0.04298,0.04298,5.03,5.02,25.8,18 m -   41 m,0.0,41.0
499582 (2010 TH19),1911-12-12 00:03:00,0.03539,0.03539,5.45,5.44,20.5,0.461±0.136 km,1.0,
(2006 CT),1911-12-19 00:15:00,0.01811,0.01802,6.6,6.57,22.3,93 m -  210 m,1.0,210.0
481457 (2006 XD2),1911-12-22 00:10:00,0.02662,0.02658,12.68,12.68,21.1,160 m -  350 m,1.0,350.0
(2019 QW2),1912-01-05 01:07:00,0.02533,0.02533,4.85,4.83,24.8,29 m -   65 m,0.0,65.0
(2020 AD1),1912-01-20 03:09:00,0.02451,0.0242,4.55,4.53,26.3,15 m -   33 m,0.0,33.0
(2014 BT8),1912-01-22 13:33:00,0.0448,0.01824,6.7,6.69,25.0,27 m -   59 m,0.0,59.0
(2013 BV15),1912-02-10 18:31:00,0.02296,0.01787,8.65,8.63,24.3,37 m -   82 m,0.0,82.0
(2022 DK1),1912-03-02 13:36:00,0.0248,0.02448,6.4,6.38,26.1,16 m -   36 m,0.0,36.0
(2016 EJ156),1912-03-02 16:37:00,0.03656,0.03179,5.09,5.08,25.8,18 m -   41 m,0.0,41.0
234145 (2000 EW70),1912-03-23 00:03:00,0.02107,0.02093,10.83,10.82,21.6,0.344±0.006 km,1.0,
613400 (2006 FH36),1912-04-02 00:05:00,0.04801,0.04798,4.22,4.21,23.0,66 m -  150 m,0.0,150.0
(2014 GC49),1912-04-02 13:55:00,0.00315,0.00281,16.95,16.9,28.6,5.1 m -   11 m,0.0,11.0
(2016 GW221),1912-04-08 06:30:00,0.02899,0.0288,5.38,5.36,24.8,30 m -   66 m,0.0,66.0
(2003 FF5),1912-04-10 00:02:00,0.03615,0.03614,8.24,8.23,23.3,58 m -  130 m,0.0,130.0
(2006 KS1),1912-04-30 04:52:00,0.02525,0.02525,5.03,5.01,25.4,22 m -   49 m,0.0,49.0
467460 (2006 JF42),1912-05-05 18:00:00,0.02424,0.01981,11.58,11.57,19.1,410 m -  910 m,2.0,910.0
(2021 AF8),1912-05-13 00:04:00,0.03603,0.03602,9.89,9.89,20.2,240 m -  540 m,1.0,540.0
(2020 KV),1912-05-26 22:25:00,0.03653,0.01131,13.27,13.27,25.0,27 m -   59 m,0.0,59.0
(2010 VB1),1912-06-03 01:15:00,0.02411,0.02379,7.34,7.32,23.2,61 m -  140 m,1.0,140.0
(2019 NG2),1912-07-20 01:04:00,0.03296,0.03135,15.41,15.4,24.0,42 m -   94 m,0.0,94.0
(2015 LK),1912-07-25 00:06:00,0.0377,0.0377,7.18,7.17,25.3,23 m -   51 m,0.0,51.0
(2020 OT6),1912-07-27 00:05:00,0.03047,0.03038,16.14,16.14,20.1,250 m -  570 m,1.0,570.0
(2002 NY40),1912-08-17 00:01:00,0.02276,0.02275,20.41,20.4,19.0,420 m -  940 m,2.0,940.0
496005 (2007 XJ16),1912-08-21 00:07:00,0.03842,0.03841,8.48,8.47,19.1,400 m -  900 m,2.0,900.0
(2019 OM),1912-08-22 02:48:00,0.02893,0.02865,9.35,9.34,22.6,80 m -  180 m,1.0,180.0
(2022 RA),1912-08-28 02:10:00,0.03653,0.02947,10.41,10.41,27.9,7.0 m -   16 m,0.0,16.0
(2001 FA58),1912-09-11 00:01:00,0.01182,0.01182,20.57,20.56,21.4,140 m -  310 m,2.0,310.0
